Comment,Designator,Footprint,LCSC
1u,"C10,C11,C12,C13,C20,C21,C23,C24,C25,C26,C27,C6,C7,C9",C_0805_2012Metric,C28323
100n,"C1,C14,C15,C16,C17,C18,C19,C2,C22,C3,C4,C5,C8",C_0805_2012Metric,C49678
74HC14,"U4,U5,U6,U7,U8,U9",SOIC-14_3.9x8.7mm_P1.27mm,C5605
TEVALULOK4W,J1,te-connectivity_val-u-lok_vertical_4_1586768-4,
TEVALULOK4W,J8,te-connectivity_val-u-lok_vertical_4_1586768-4,
TEVALULOK8W,J10,te-connectivity_val-u-lok_vertical_8_1586768-8,
RESISTOR,R1,R_0805_2012Metric,
2k2,R2,R_0805_2012Metric,
68k,R3,R_0805_2012Metric,
68k,R4,R_0805_2012Metric,
68k,R5,R_0805_2012Metric,
68k,R6,R_0805_2012Metric,
68k,R7,R_0805_2012Metric,
68k,R8,R_0805_2012Metric,
68k,R9,R_0805_2012Metric,
1k5,R10,R_0805_2012Metric,
120k,R11,R_0805_2012Metric,
120k,R13,R_0805_2012Metric,
1k,R23,R_0805_2012Metric,
MC33204,U3,SOIC-14_3.9x8.7mm_P1.27mm,
1k5,R12,R_0805_2012Metric,
VOM617A-4T,O10,VOMOPTO,
VOM617A-4T,O9,VOMOPTO,
78L10SMD,U2,SOIC-8_3.9x4.9mm_P1.27mm,
LED,LD1,LED_0805_2012Metric,
LED,LD2,LED_0805_2012Metric,
LED,LD3,LED_0805_2012Metric,
LED,LD4,LED_0805_2012Metric,
LED,LD10,LED_0805_2012Metric,
LED,LD19,LED_0805_2012Metric,
LED,LD20,LED_0805_2012Metric,
LED,LD21,LED_0805_2012Metric,
LED,LD23,LED_0805_2012Metric,
LED,LD24,LED_0805_2012Metric,
LED,LD25,LED_0805_2012Metric,
LED,LD26,LED_0805_2012Metric,
VOM617A-4T,O13,VOMOPTO,
VOM617A-4T,O14,VOMOPTO,
VOM617A-4T,O16,VOMOPTO,
VOM617A-4T,O17,VOMOPTO,
